iter	Logloss
0	0.6885098105
1	0.6860609946
2	0.6807736122
3	0.6764773626
4	0.670232309
5	0.6655049499
6	0.6618718215
7	0.6577105053
8	0.6534626949
9	0.647732755
10	0.644837093
11	0.641640875
12	0.638232439
13	0.6354222578
14	0.6306522899
15	0.6283503759
16	0.6246857832
17	0.6221856251
18	0.6190667065
19	0.6152857605
20	0.6118795038
21	0.6092850051
22	0.6070510464
23	0.6048156365
24	0.6017603622
25	0.5971110633
26	0.594522259
27	0.593278405
28	0.5909652543
29	0.5875007226
30	0.5864391692
31	0.5840112482
32	0.581618074
33	0.5776089341
34	0.5749601367
35	0.5746826638
36	0.573735597
37	0.5702062572
38	0.5679599715
39	0.5647945294
40	0.5639861101
41	0.5629527516
42	0.560043569
43	0.5587374971
44	0.556613712
45	0.5547275922
46	0.5510469496
47	0.5479266208
48	0.5452933561
49	0.5428986127
50	0.5394388001
51	0.5378017772
52	0.536329037
53	0.5339598261
54	0.530979512
55	0.5288633257
56	0.5264813948
57	0.5238123619
58	0.5201669176
59	0.5167906605
60	0.5144609357
61	0.5103999177
62	0.5065482698
63	0.504444017
64	0.5022380702
65	0.5013557548
66	0.4980571995
67	0.4939531215
68	0.490110239
69	0.4845787384
70	0.4808824996
71	0.4759743953
72	0.4723817188
73	0.4678186341
74	0.4650805731
75	0.4623878174
76	0.4603177789
77	0.4578315804
78	0.4546159975
79	0.4507708747
80	0.4488509712
81	0.4447429573
82	0.4430983796
83	0.4415527449
84	0.4346907308
85	0.4301251194
86	0.4269985513
87	0.4245943782
88	0.4205379918
89	0.4169999106
90	0.4129308352
91	0.4076182031
92	0.4039615628
93	0.4015282849
94	0.3949070262
95	0.393483605
96	0.3890232707
97	0.3866860818
98	0.3844057034
99	0.382869405
100	0.3816802579
101	0.3792157117
102	0.3757517995
103	0.3727481435
104	0.3723516836
105	0.3697794959
106	0.3674752308
107	0.3645634287
108	0.36242868
109	0.3607178416
110	0.3575556266
111	0.3546821876
112	0.3509084124
113	0.349815698
114	0.3483858655
115	0.3467159468
116	0.3450381288
117	0.3433965872
118	0.342026488
119	0.3393910451
120	0.3355746524
121	0.3313459612
122	0.3278690226
123	0.3259775627
124	0.324144873
125	0.3221483543
126	0.3202893294
127	0.3178104122
128	0.3154905475
129	0.3131809842
130	0.3108546212
131	0.3095793439
132	0.3084198558
133	0.3065518047
134	0.3040021096
135	0.3024011448
136	0.3013160424
137	0.3005308037
138	0.2984873063
139	0.294997016
140	0.2934785716
141	0.2916803264
142	0.2910797032
143	0.2897401162
144	0.2875828034
145	0.2847894773
146	0.2828296184
147	0.2809117675
148	0.2790001952
149	0.2765856343
150	0.2752146237
151	0.2744038529
152	0.2729852171
153	0.2708846327
154	0.2696482397
155	0.2691203241
156	0.2675507049
157	0.2656685219
158	0.264128236
159	0.2623625496
160	0.2611735741
161	0.2602203364
162	0.2586287221
163	0.2572220979
164	0.2559708145
165	0.2550363796
166	0.2538347699
167	0.2524522877
168	0.2499192747
169	0.2486179955
170	0.2467781025
171	0.2458170353
172	0.2446361096
173	0.2436173315
174	0.240730978
175	0.2394750878
176	0.2382183953
177	0.2362052367
178	0.2349664588
179	0.2339716801
180	0.2336932832
181	0.2319884499
182	0.231557722
183	0.2285350558
184	0.2277645323
185	0.2269468922
186	0.2254760978
187	0.2245733875
188	0.2231018627
189	0.2219055796
190	0.2211818973
191	0.2200565902
192	0.2183928773
193	0.216809388
194	0.2160137337
195	0.2149583327
196	0.2122918347
197	0.2113143114
198	0.2101533159
199	0.2082181145
200	0.2067616687
201	0.2062084914
202	0.2047811178
203	0.2039833031
204	0.2027329014
205	0.2020036743
206	0.2006562029
207	0.1997809956
208	0.1981919995
