iter	Passed	Remaining
0	149	74549
1	152	38004
2	155	25727
3	160	19884
4	163	16186
5	166	13728
6	169	11970
7	174	10751
8	178	9716
9	181	8899
10	184	8184
11	187	7638
12	193	7252
13	196	6833
14	200	6479
15	204	6180
16	209	5945
17	212	5679
18	215	5447
19	217	5228
20	221	5057
21	225	4904
22	228	4748
23	231	4587
24	235	4465
25	239	4364
26	243	4257
27	246	4151
28	248	4039
29	250	3929
30	254	3857
31	258	3774
32	260	3687
33	263	3611
34	265	3533
35	269	3478
36	273	3419
37	275	3353
38	277	3284
39	280	3227
40	283	3177
41	288	3147
42	291	3097
43	293	3046
44	297	3003
45	301	2975
46	304	2939
47	307	2899
48	310	2857
49	312	2814
50	316	2785
51	319	2751
52	321	2714
53	324	2682
54	327	2649
55	332	2636
56	336	2616
57	339	2583
58	342	2556
59	345	2532
60	348	2509
61	351	2485
62	355	2463
63	357	2433
64	359	2405
65	363	2388
66	366	2366
67	368	2342
68	371	2322
69	374	2301
70	378	2283
71	382	2273
72	385	2254
73	388	2235
74	390	2213
75	393	2193
76	398	2186
77	400	2166
78	402	2146
79	405	2128
80	407	2107
81	411	2097
82	415	2087
83	418	2070
84	420	2052
85	423	2038
86	427	2027
87	429	2012
88	433	2000
89	435	1984
90	437	1967
91	441	1959
92	445	1947
93	447	1933
94	450	1920
95	452	1905
96	455	1893
97	460	1889
98	463	1875
99	465	1863
100	469	1853
101	472	1842
102	475	1833
103	478	1823
104	481	1811
105	484	1800
106	488	1795
107	492	1786
108	495	1776
109	498	1766
110	500	1755
111	504	1746
112	508	1740
113	510	1729
114	513	1719
115	517	1711
116	521	1707
117	525	1699
118	528	1690
119	530	1678
120	532	1666
121	537	1664
122	540	1655
123	545	1655
124	548	1646
125	552	1641
126	556	1634
127	559	1624
128	561	1614
129	564	1606
130	568	1601
131	571	1594
132	574	1585
133	577	1576
134	579	1567
135	582	1559
136	585	1552
137	589	1545
138	591	1536
139	594	1528
140	598	1523
141	602	1518
142	604	1509
143	607	1502
144	610	1493
145	612	1486
146	616	1480
147	619	1474
148	622	1465
149	624	1458
150	627	1449
151	630	1442
152	634	1438
153	637	1431
154	639	1423
155	642	1417
156	645	1411
157	649	1406
158	653	1400
159	655	1392
160	657	1384
161	660	1377
162	663	1371
163	666	1365
164	669	1359
165	672	1352
166	674	1345
167	677	1339
168	680	1332
169	683	1326
170	686	1320
171	688	1313
172	691	1307
173	695	1303
174	698	1297
175	701	1291
176	704	1284
177	706	1277
178	710	1274
179	714	1269
180	717	1263
181	720	1258
182	722	1252
183	728	1250
184	731	1246
185	734	1240
186	737	1235
187	743	1233
188	747	1229
189	749	1223
190	753	1218
191	757	1214
192	760	1210
193	764	1205
194	767	1199
195	770	1195
196	775	1193
197	779	1188
198	781	1182
199	784	1177
200	787	1171
201	791	1167
202	795	1164
203	798	1158
204	801	1153
205	806	1151
206	810	1146
207	813	1141
208	816	1137
209	822	1135
210	826	1131
211	829	1126
212	831	1120
213	834	1114
214	838	1111
215	841	1107
216	844	1101
217	847	1096
218	852	1093
219	856	1090
220	860	1086
221	863	1080
222	866	1075
223	870	1072
224	872	1066
225	875	1061
226	878	1056
227	881	1051
228	885	1047
229	888	1043
230	891	1037
231	894	1033
232	896	1027
233	901	1024
234	904	1019
235	906	1014
236	910	1010
237	912	1004
238	916	1001
239	920	997
240	922	991
241	925	986
242	928	981
243	931	977
244	935	974
245	938	969
246	942	965
247	945	961
248	950	957
249	953	953
250	956	948
251	958	943
252	960	938
253	964	934
254	968	930
255	970	925
256	973	920
257	976	915
258	980	911
259	983	908
260	986	903
261	990	899
262	992	894
263	997	891
264	1000	887
265	1003	882
266	1005	877
267	1009	874
268	1014	870
269	1017	866
270	1019	861
271	1021	856
272	1025	852
273	1028	848
274	1031	844
275	1035	840
276	1037	835
277	1041	831
278	1046	828
279	1049	824
280	1054	821
281	1061	820
282	1065	817
283	1069	813
284	1071	808
285	1075	804
286	1079	800
287	1082	796
288	1085	792
289	1090	789
290	1094	785
291	1098	782
292	1101	778
293	1105	774
294	1110	771
295	1114	768
296	1118	764
297	1122	761
298	1127	758
299	1131	754
300	1136	751
301	1141	748
302	1145	744
303	1147	740
304	1150	735
305	1157	733
306	1160	729
307	1162	724
308	1165	720
309	1173	719
310	1177	715
311	1181	711
312	1186	708
313	1189	704
314	1192	700
315	1197	697
316	1201	693
317	1205	689
318	1208	685
319	1210	681
320	1213	676
321	1217	672
322	1220	668
323	1222	664
324	1226	660
325	1228	655
326	1231	651
327	1236	648
328	1238	643
329	1241	639
330	1244	635
331	1246	630
332	1251	627
333	1254	623
334	1257	619
335	1260	615
336	1264	611
337	1268	607
338	1274	605
339	1287	605
340	1291	602
341	1296	599
342	1303	596
343	1306	592
344	1311	589
345	1316	585
346	1319	581
347	1323	577
348	1329	575
349	1335	572
350	1340	569
351	1348	566
352	1355	564
353	1360	561
354	1370	559
355	1376	556
356	1387	555
357	1391	551
358	1398	549
359	1405	546
360	1414	544
