iter	Passed	Remaining
0	92	45980
1	96	24007
2	101	16765
3	106	13223
4	110	10953
5	114	9447
6	121	8587
7	125	7747
8	129	7076
9	134	6608
10	140	6246
11	145	5897
12	149	5600
13	154	5357
14	158	5131
15	161	4899
16	165	4709
17	169	4538
18	172	4358
19	174	4184
20	176	4032
21	179	3899
22	182	3787
23	185	3669
24	186	3550
25	188	3436
26	190	3336
27	192	3240
28	193	3148
29	197	3087
30	199	3013
31	200	2937
32	202	2868
33	204	2800
34	205	2736
35	207	2679
36	209	2622
37	211	2570
38	214	2536
39	216	2487
40	217	2440
41	219	2398
42	221	2354
43	223	2313
44	225	2278
45	227	2246
46	230	2225
47	233	2197
48	235	2163
49	236	2131
50	238	2101
51	240	2070
52	241	2041
53	244	2021
54	247	2001
55	249	1975
56	251	1953
57	252	1927
58	254	1902
59	256	1882
60	258	1858
61	260	1842
62	263	1826
63	264	1805
64	266	1784
65	268	1766
66	270	1746
67	272	1728
68	274	1712
69	276	1701
70	279	1685
71	281	1671
72	282	1654
73	284	1638
74	286	1624
75	288	1609
76	290	1594
77	293	1586
78	294	1571
79	296	1557
80	298	1545
81	300	1531
82	301	1517
83	304	1506
84	306	1494
85	308	1485
86	311	1476
87	312	1464
88	314	1451
89	316	1441
90	318	1429
91	319	1418
92	322	1411
93	324	1403
94	327	1394
95	329	1384
96	330	1375
97	333	1366
98	335	1358
99	337	1349
100	341	1347
101	343	1338
102	345	1330
103	347	1323
104	349	1314
105	351	1307
106	353	1299
107	356	1294
108	359	1289
109	361	1279
110	362	1270
111	364	1263
112	366	1254
113	368	1246
114	371	1242
115	373	1236
116	375	1229
117	377	1221
118	378	1213
119	380	1206
120	382	1198
121	384	1190
122	387	1188
123	389	1181
124	391	1174
125	393	1167
126	395	1161
127	397	1154
128	399	1149
129	401	1143
130	404	1139
131	406	1134
132	408	1128
133	410	1121
134	412	1115
135	414	1108
136	415	1101
137	419	1099
138	421	1093
139	423	1088
140	424	1081
141	426	1075
142	428	1070
143	430	1064
144	432	1058
145	435	1055
146	437	1049
147	438	1043
148	440	1038
149	442	1032
150	444	1026
151	446	1021
152	448	1016
153	450	1012
154	452	1008
155	454	1003
156	456	998
157	458	993
158	460	987
159	462	982
160	464	978
161	467	976
162	470	972
163	472	969
164	474	963
165	476	959
166	478	953
167	481	950
168	483	947
169	485	942
170	487	937
171	490	935
172	492	931
173	494	927
174	498	926
175	501	922
176	502	917
177	505	914
178	507	910
179	510	907
180	514	907
181	517	903
182	519	899
183	521	895
184	523	891
185	526	888
186	529	886
187	532	883
188	534	880
189	537	876
190	539	872
191	541	868
192	544	866
193	547	863
194	549	860
195	578	897
196	584	899
197	590	900
198	597	903
199	603	905
200	622	925
201	624	921
202	628	919
203	630	915
204	633	911
205	635	906
206	637	902
207	645	905
208	650	906
209	657	908
210	661	905
211	663	901
212	665	896
213	668	892
214	670	888
215	672	883
216	675	881
217	677	876
218	679	871
219	681	867
220	682	862
221	684	857
222	686	852
223	688	848
224	691	845
225	693	841
226	695	836
227	697	832
228	699	827
229	700	822
230	702	818
231	705	814
232	707	811
233	710	807
234	712	803
235	714	799
236	716	795
237	718	791
238	721	788
239	723	784
240	725	779
241	727	775
242	729	771
243	730	766
244	732	762
245	734	758
246	738	756
247	740	752
248	742	748
249	744	744
250	746	740
251	747	736
252	749	731
253	752	728
254	754	725
255	757	721
256	759	717
257	761	714
258	762	709
259	764	706
260	766	701
261	769	698
262	771	695
263	773	691
264	774	687
265	776	683
266	778	679
267	780	675
268	782	672
269	784	668
270	786	664
271	788	661
272	790	657
273	792	653
274	794	650
275	796	646
276	798	643
277	801	639
278	802	635
279	804	632
280	806	628
281	808	625
282	810	621
283	812	618
284	814	614
285	818	612
286	819	608
287	822	605
288	823	601
289	826	598
290	827	594
291	829	590
292	834	589
293	835	585
294	837	582
295	839	578
296	841	575
297	843	571
298	845	568
299	848	565
300	850	562
301	852	558
302	854	555
303	855	551
304	857	548
305	859	545
306	861	541
307	864	539
308	866	535
309	868	532
310	870	528
311	872	525
312	874	522
313	876	519
314	880	517
315	882	513
316	884	510
317	886	507
318	888	504
319	890	501
320	892	497
321	896	495
322	898	492
323	900	489
324	902	485
325	904	482
326	906	479
327	908	476
328	912	474
329	914	471
330	916	467
331	918	465
332	920	461
333	923	458
334	925	455
335	928	453
336	930	450
337	932	447
338	934	443
339	936	440
340	939	437
341	941	435
342	946	433
343	948	430
344	950	427
345	953	424
346	955	421
347	959	419
348	962	416
349	963	413
350	967	410
351	969	407
352	971	404
353	974	401
354	976	398
355	978	395
356	980	392
357	981	389
358	984	386
359	985	383
360	987	380
361	991	377
362	993	374
363	995	371
364	998	369
365	1000	366
366	1002	363
367	1005	360
368	1008	357
369	1010	354
370	1012	352
371	1015	349
372	1017	346
373	1019	343
374	1022	340
375	1024	338
376	1027	335
377	1029	332
378	1030	329
379	1033	326
380	1034	323
381	1039	320
382	1041	318
383	1042	315
384	1045	312
385	1047	309
386	1049	306
387	1051	303
388	1054	300
389	1056	298
390	1058	295
391	1060	292
392	1062	289
393	1064	286
394	1066	283
395	1070	281
396	1072	278
397	1074	275
398	1076	272
399	1078	269
400	1080	266
401	1082	263
402	1084	260
403	1087	258
404	1089	255
405	1091	252
406	1093	249
407	1094	246
408	1096	243
409	1098	241
410	1102	238
411	1104	235
412	1106	233
413	1107	230
414	1109	227
415	1111	224
416	1113	221
417	1115	218
418	1118	216
419	1120	213
420	1122	210
421	1124	207
422	1126	205
423	1128	202
424	1130	199
425	1134	197
426	1136	194
427	1138	191
428	1140	188
429	1142	185
430	1144	183
431	1146	180
432	1149	177
433	1151	175
434	1153	172
435	1154	169
436	1156	166
437	1158	164
438	1160	161
439	1162	158
440	1165	155
441	1167	153
442	1168	150
443	1170	147
444	1172	144
445	1174	142
